NIVEL;CURSO;OA;COD_ASG;ASIGNATURA;CATEGORIA;DESCRIPCION
M;4M;OAH-g;FG-ECIU;Educación Ciudadana;Habilidades;Comunicar explicaciones, conclusiones u opiniones fundamentadas haciendo uso de lenguaje, las normas y convenciones de la disciplina.
M;4M;OAC-01;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Evaluar las características y el funcionamiento de la institucionalidad democrática, las formas de representación y su impacto en la distribución del poder en la sociedad, a la luz del bien común, la cohesión y justicia social.
M;4M;OAC-02;FG-ECIU;Educación Ciudadana;Aprendizajes Complementarios;Participar de forma corresponsable y ética en la búsqueda de estrategias y soluciones a desafíos, problemas y conflictos en diversas escalas, que impliquen armonizar desarrollo, democracia, equidad y sustentabilidad.
M;4M;OAC-03;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Analizar el impacto de diversos modelos de desarrollo y las políticas económicas en la vida cotidiana y en el cambio climático, en función de la sustentabilidad y del aseguramiento de una vida digna y justa para todos y todas con condiciones para el desarrollo personal y colectivo.
M;4M;OAC-04;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Comprender la importancia de los derechos laborales en Chile, considerando las principales tendencias globales y nacionales, la evolución de los mecanismos institucionales que buscan resguardarlos y los aportes de los movimientos y organizaciones sociales a su fortalecimiento.
M;4M;OAC-05;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Relacionar de manera fundamentada los conceptos libertad, igualdad y solidaridad, con desafíos y problemas de la democracia como la desigualdad y superación de la pobreza, la equidad de género, la inclusión, la diversidad étnica, cultural y sexual, entre otras.
M;4M;OAC-06;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Evaluar oportunidades y riesgos de los medios de comunicación masiva y del uso de las nuevas tecnologías de la información en el marco de una sociedad democrática, reflexionando personal y grupalmente sobre sus implicancias en la participación ciudadana y en el resguardo de la vida privada.
M;4M;OAC-07;FG-ECIU;Educación Ciudadana;Aprendizajes Basales;Proponer formas de organización del territorio y del espacio público que promuevan la acción colectiva, la interculturalidad, la inclusión de la diversidad y el mejoramiento de la vida comunitaria.
M;4M;OAC-08;FG-ECIU;Educación Ciudadana;Aprendizajes Complementarios;Tomar decisiones fundadas en principios éticos, valores y virtudes públicas en las prácticas ciudadanas, resguardando la dignidad del otro y la vida en democracia.
M;3M;OAC-01;FG-EFS1;Ed. Física y Salud;Aprendizajes Basales;Aplicar individual y colectivamente las habilidades motrices especializadas de manera creativa y segura, en una variedad de actividades físicas que sean de su interés y en diferentes entornos.
M;3M;OAC-02;FG-EFS1;Ed. Física y Salud;Aprendizajes Complementarios;Evaluar el impacto de las estrategias y tácticas individuales y colectivas utilizadas para la resolución de problemas en el juego, el deporte y la recreación, asumiendo distintos roles y tareas.
M;3M;OAC-03;FG-EFS1;Ed. Física y Salud;Aprendizajes Basales;Diseñar y aplicar un plan de entrenamiento para mejorar su rendimiento físico, considerando sus características personales y funcionales.
M;3M;OAC-04;FG-EFS1;Ed. Física y Salud;Aprendizajes Basales;Promover el bienestar, el autocuidado, la vida activa y la alimentación saludable en su comunidad, valorando la diversidad de las personas a través de la aplicación de programas y proyectos deportivos, recreativos y socioculturales.
M;3M;OAC-05;FG-EFS1;Ed. Física y Salud;Aprendizajes Complementarios;Analizar, por medio de la práctica regular de actividad física, cómo los factores sociales, culturales, económicos y tecnológicos favorecen el desarrollo de oportunidades para la adquisición de un estilo de vida activo y saludable a nivel local, regional y global.
M;3M;OAC-01;FG-EFS2;Ed. Física y Salud;Aprendizajes Basales;Evaluar individual y colectivamente las habilidades motrices especializadas utilizadas en una variedad de actividades físicas que sean de su interés y en diferentes entornos.
M;3M;OAC-02;FG-EFS2;Ed. Física y Salud;Aprendizajes Complementarios;Organizar y aplicar individual y colectivamente estrategias y tácticas para desarrollar un juego inteligente, asumiendo distintos roles y tareas.
M;3M;OAC-03;FG-EFS2;Ed. Física y Salud;Aprendizajes Basales;Aplicar responsablemente un plan de entrenamiento para mejorar su rendimiento físico, considerando sus características personales y funcionales.
M;3M;OAC-04;FG-EFS2;Ed. Física y Salud;Aprendizajes Basales;Evaluar el impacto de variados programas y proyectos deportivos, recreativos y socioculturales que promuevan de manera colectiva el bienestar, el autocuidado, la vida activa y la alimentación saludable en su comunidad, considerando la diversidad de las personas.
M;3M;OAC-05;FG-EFS2;Ed. Física y Salud;Aprendizajes Complementarios;Evaluar, por medio de la práctica regular de actividad física, cómo los factores sociales, culturales, económicos y tecnológicos favorecen el desarrollo de oportunidades para la adquisición de un estilo de vida activo y saludable a nivel local, regional y global.
M;3M;OAA-01;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;4M;OAA-01;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;4M;OAA-01;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;4M;OAA-01;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;4M;OAA-01;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-01;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con perseverancia y proactividad para encontrar soluciones innovadoras a los problemas.
M;3M;OAA-02;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;4M;OAA-02;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;4M;OAA-02;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;4M;OAA-02;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;4M;OAA-02;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-02;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con apertura a distintas perspectivas y contextos, asumiendo riesgos y responsabilidades.
M;3M;OAA-03;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;4M;OAA-03;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;4M;OAA-03;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;4M;OAA-03;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;4M;OAA-03;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-03;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con conciencia, reconociendo que los errores ofrecen oportunidades para el aprendizaje.
M;3M;OAA-04;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;4M;OAA-04;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;4M;OAA-04;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;4M;OAA-04;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;4M;OAA-04;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-04;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con flexibilidad para reelaborar las propias ideas, puntos de vista y creencias.
M;3M;OAA-05;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;4M;OAA-05;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;4M;OAA-05;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;4M;OAA-05;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;4M;OAA-05;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-05;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con autorreflexión y autonomía para gestionar el propio aprendizaje, identificando capacidades, fortalezas y aspectos por mejorar.
M;3M;OAA-06;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;4M;OAA-06;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;4M;OAA-06;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;4M;OAA-06;FG-FOGE;Matemática;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Música;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Tecnología y Sociedad;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Ambiente y Sostenibilidad;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Bienestar y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Chile y la Región Latinoamericana;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Danza;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;4M;OAA-06;FG-FOGE;Educación Ciudadana;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Mundo Global;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Seguridad Prevención y Autocuidado;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-06;FG-FOGE;Teatro;Habilidades y Actitudes para el siglo XXI;Pensar con consciencia de que los aprendizajes se desarrollan a lo largo de la vida y que enriquecen la experiencia.
M;3M;OAA-07;FG-FOGE;Artes Visuales;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;3M;OAA-07;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;3M;OAA-07;FG-FOGE;Ed. Física y Salud;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;3M;OAA-07;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;4M;OAA-07;FG-FOGE;Inglés;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;3M;OAA-07;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
M;4M;OAA-07;FG-FOGE;Lengua y Literatura;Habilidades y Actitudes para el siglo XXI;Pensar con apertura hacia otros para valorar la comunicación como una forma de relacionarse con diversas personas y culturas, compartiendo ideas que favorezcan el desarrollo de la vida en sociedad.
